,id,title,genres
209,tm89848,Robin Hood of the Pecos,music
210,tm56124,High Lonesome,western
211,tm85884,Angel on My Shoulder,fantasy
211,tm85884,Angel on My Shoulder,comedy
211,tm85884,Angel on My Shoulder,romance
212,tm4603,The Princess and the Pirate,action
212,tm4603,The Princess and the Pirate,comedy
212,tm4603,The Princess and the Pirate,romance
213,tm57795,The Stolen Jools,comedy
214,tm109893,City Without Men,drama
214,tm109893,City Without Men,crime
215,tm3364,Up in Arms,drama
215,tm3364,Up in Arms,romance
215,tm3364,Up in Arms,comedy
215,tm3364,Up in Arms,war
216,tm7457,The Terror of Tiny Town,comedy
216,tm7457,The Terror of Tiny Town,western
216,tm7457,The Terror of Tiny Town,family
216,tm7457,The Terror of Tiny Town,music
216,tm7457,The Terror of Tiny Town,romance
216,tm7457,The Terror of Tiny Town,action
217,tm61,"$50,000 Reward",western
218,tm133278,Sagebrush Trail,western
218,tm133278,Sagebrush Trail,action
218,tm133278,Sagebrush Trail,drama
218,tm133278,Sagebrush Trail,romance
219,tm158617,Murder by Television,horror
219,tm158617,Murder by Television,scifi
219,tm158617,Murder by Television,thriller
220,tm2211,A Shriek in the Night,thriller
220,tm2211,A Shriek in the Night,crime
220,tm2211,A Shriek in the Night,romance
220,tm2211,A Shriek in the Night,action
220,tm2211,A Shriek in the Night,sport
221,tm109693,The Milky Way,comedy
221,tm109693,The Milky Way,family
221,tm109693,The Milky Way,sport
221,tm109693,The Milky Way,romance
222,tm2878,The Monster Walks,thriller
222,tm2878,The Monster Walks,horror
223,tm159352,Raffles,thriller
223,tm159352,Raffles,comedy
223,tm159352,Raffles,crime
223,tm159352,Raffles,drama
223,tm159352,Raffles,history
223,tm159352,Raffles,romance
224,tm139236,Oliver Twist,drama
224,tm139236,Oliver Twist,family
225,tm163340,The New Adventures of Tarzan,action
225,tm163340,The New Adventures of Tarzan,crime
225,tm163340,The New Adventures of Tarzan,family
226,tm3836,Lumberjack,western
226,tm3836,Lumberjack,drama
226,tm3836,Lumberjack,music
226,tm3836,Lumberjack,action
227,tm140747,Little Annie Rooney,comedy
227,tm140747,Little Annie Rooney,drama
228,tm162886,The Patchwork Girl of Oz,fantasy
228,tm162886,The Patchwork Girl of Oz,comedy
228,tm162886,The Patchwork Girl of Oz,family
229,tm96440,The Ghost Walks,horror
229,tm96440,The Ghost Walks,comedy
229,tm96440,The Ghost Walks,thriller
230,tm88566,The Strange Woman,romance
230,tm88566,The Strange Woman,thriller
230,tm88566,The Strange Woman,drama
231,tm446591,Jivin' in Bebop,documentation
231,tm446591,Jivin' in Bebop,music
232,tm15604,Blood on the Sun,drama
232,tm15604,Blood on the Sun,romance
232,tm15604,Blood on the Sun,thriller
232,tm15604,Blood on the Sun,war
233,tm89128,The Perils of Pauline,comedy
233,tm89128,The Perils of Pauline,music
233,tm89128,The Perils of Pauline,drama
234,tm112305,Happy Go Lucky,drama
234,tm112305,Happy Go Lucky,music
234,tm112305,Happy Go Lucky,action
235,tm66957,The Big Cat,western
235,tm66957,The Big Cat,action
235,tm66957,The Big Cat,romance
235,tm66957,The Big Cat,drama
236,tm64928,Squadron of Doom,action
236,tm64928,Squadron of Doom,scifi
237,tm56395,"Parlor, Bedroom and Bath",comedy
238,tm1102,23 1/2 Hours Leave,comedy
238,tm1102,23 1/2 Hours Leave,music
238,tm1102,23 1/2 Hours Leave,war
239,tm165325,The Pace That Kills,drama
239,tm165325,The Pace That Kills,crime
240,tm83472,Dirty Gertie from Harlem U.S.A.,drama
241,tm16224,Fog Island,horror
241,tm16224,Fog Island,thriller
241,tm16224,Fog Island,drama
241,tm16224,Fog Island,romance
242,tm153258,The Flying Deuces,comedy
242,tm153258,The Flying Deuces,war
242,tm153258,The Flying Deuces,family
243,tm99314,True Heart Susie,drama
243,tm99314,True Heart Susie,romance
243,tm99314,True Heart Susie,comedy
244,tm7033,Big News,comedy
244,tm7033,Big News,crime
245,tm6242,Mr. Robinson Crusoe,action
245,tm6242,Mr. Robinson Crusoe,comedy
245,tm6242,Mr. Robinson Crusoe,family
245,tm6242,Mr. Robinson Crusoe,romance
246,tm53874,The Painted Desert,western
247,tm82044,Secret of the Wastelands,western
247,tm82044,Secret of the Wastelands,action
248,tm7496,Blockade,drama
248,tm7496,Blockade,romance
248,tm7496,Blockade,war
249,tm117296,Two Weeks to Live,comedy
249,tm117296,Two Weeks to Live,action
250,tm99988,Randy Rides Alone,western
250,tm99988,Randy Rides Alone,action
250,tm99988,Randy Rides Alone,romance
251,tm1345,Abilene Town,western
251,tm1345,Abilene Town,romance
251,tm1345,Abilene Town,action
252,tm64603,Port of New York,crime
252,tm64603,Port of New York,drama
252,tm64603,Port of New York,thriller
253,tm7265,God's Step Children,drama
254,tm2865,Broadway to Cheyenne,western
254,tm2865,Broadway to Cheyenne,crime
254,tm2865,Broadway to Cheyenne,romance
254,tm2865,Broadway to Cheyenne,action
255,tm85410,One Exciting Night,crime
255,tm85410,One Exciting Night,comedy
255,tm85410,One Exciting Night,horror
256,tm16537,Apology for Murder,crime
256,tm16537,Apology for Murder,drama
257,tm115918,Hi Diddle Diddle,comedy
257,tm115918,Hi Diddle Diddle,romance
258,tm67692,Wild Weed,drama
259,tm88677,Love Laughs at Andy Hardy,comedy
259,tm88677,Love Laughs at Andy Hardy,romance
259,tm88677,Love Laughs at Andy Hardy,family
260,tm88617,The Fabulous Dorseys,drama
260,tm88617,The Fabulous Dorseys,music
260,tm88617,The Fabulous Dorseys,romance
261,tm162830,The Hoosier Schoolmaster,drama
262,tm79526,Man With Two Lives,horror
262,tm79526,Man With Two Lives,thriller
263,tm137977,I Cover the Waterfront,romance
263,tm137977,I Cover the Waterfront,drama
263,tm137977,I Cover the Waterfront,crime
264,tm156388,The Desert Trail,western
264,tm156388,The Desert Trail,action
264,tm156388,The Desert Trail,romance
265,tm98597,Marie Galante,thriller
265,tm98597,Marie Galante,drama
265,tm98597,Marie Galante,romance
266,tm162381,The Dawn Rider,western
266,tm162381,The Dawn Rider,drama
266,tm162381,The Dawn Rider,action
267,tm997,The Admiral Was a Lady,romance
267,tm997,The Admiral Was a Lady,comedy
268,tm16141,White Pongo,horror
268,tm16141,White Pongo,action
268,tm16141,White Pongo,comedy
